Date,Close,Unadjusted_close,High,Low,Open,Volume
2020-01-02,8.5129,8.924,8.984,8.494,8.504,1016869
2020-01-03,8.2591,8.658,8.852,8.456,8.85,933481
2020-01-06,8.0607,8.45,8.524,8.248,8.488,1122410
2020-01-07,8.4099,8.816,8.832,8.514,8.514,859605
2020-01-08,8.6846,9.104,9.128,8.622,8.636,1329417
2020-01-09,9.2131,9.658,9.95,9.518,9.6,2695157
2020-01-10,9.2474,9.694,9.882,9.62,9.81,761856
2020-01-13,9.5727,10.035,10.255,9.87,9.92,1914798
2020-01-14,9.3714,9.824,10.115,9.804,10.11,861353
2020-01-15,9.3409,9.792,10.025,9.73,9.806,917425
2020-01-16,9.4668,9.924,10.12,9.874,10.095,1052135
2020-01-17,9.4725,9.93,10.07,9.894,10.005,483572
2020-01-20,9.5298,9.99,10.015,9.874,9.9,365234
2020-01-21,9.4306,9.886,9.932,9.73,9.904,603416
2020-01-22,9.3371,9.788,9.99,9.774,9.934,560886
2020-01-23,9.1501,9.592,9.874,9.558,9.75,907928
2020-01-24,9.4554,9.912,9.918,9.684,9.746,749468
2020-01-27,9.0662,9.504,9.786,9.434,9.694,873405
2020-01-28,9.236,9.682,9.742,9.412,9.606,599711
2020-01-29,9.4764,9.934,10.04,9.684,9.714,860011
2020-01-30,9.257,9.704,9.8,9.592,9.684,604433
2020-01-31,9.131,9.572,9.86,9.56,9.752,639076
2020-02-03,9.257,9.704,9.762,9.51,9.55,474799
2020-02-04,9.5632,10.025,10.175,9.782,9.81,1120204
2020-02-05,9.878,10.355,10.695,10.01,10.05,1682699
2020-02-06,10.1403,10.63,10.63,10.275,10.515,1042587
2020-02-07,10.1021,10.59,10.635,10.32,10.54,1000954
2020-02-10,10.1594,10.65,10.65,10.41,10.58,603727
2020-02-11,10.5982,11.11,11.11,10.685,10.73,1089171
2020-02-12,10.9273,11.455,11.59,11.125,11.175,1140190
2020-02-13,10.7937,11.315,11.405,10.96,11.2,1172320
2020-02-14,10.6173,11.13,11.33,11.03,11.295,608774
2020-02-17,10.6173,11.13,11.185,10.99,11.185,543349
2020-02-18,10.2262,10.72,10.94,10.525,10.82,1192549
2020-02-19,10.6363,11.15,11.15,10.71,10.92,848186
2020-02-20,10.2882,10.785,11.14,10.785,11.01,675741
2020-02-21,10.0783,10.565,10.785,10.445,10.655,989982
2020-02-24,9.2093,9.654,10.095,9.534,10.02,2203291
2020-02-25,9.1673,9.61,9.95,9.436,9.926,1138653
2020-02-26,9.4993,9.958,10.015,9.148,9.3,1551244
2020-02-27,9.0185,9.454,9.742,9.312,9.65,1523292
2020-02-28,8.7304,9.152,9.474,8.82,8.9,2170601
2020-03-02,8.9651,9.398,9.538,9.05,9.532,1290069
2020-03-03,9.2016,9.646,9.904,9.446,9.62,1138921
2020-03-04,9.3924,9.846,9.904,9.57,9.762,1133299
2020-03-05,9.0948,9.534,9.96,9.476,9.914,684665
2020-03-06,8.7533,9.176,9.35,8.99,9.2,856368
2020-03-09,8.1084,8.5,8.726,8.296,8.4,1526909
2020-03-10,8.2572,8.656,9.054,8.508,8.666,1366008
2020-03-11,8.3469,8.75,9.064,8.672,8.822,1236350
2020-03-12,7.5132,7.876,8.126,7.74,8.066,2448788
2020-03-13,7.5838,7.95,8.464,7.836,8.2,1705041
2020-03-16,7.2289,7.578,7.726,6.644,7.488,1862806
2020-03-17,7.1831,7.53,7.94,7.05,7.9,1237092
2020-03-18,6.4085,6.718,7.396,6.644,7.33,2035133
2020-03-19,5.9735,6.262,6.876,6.01,6.74,2276151
2020-03-20,6.4448,6.756,6.98,6.538,6.6,1350290
2020-03-23,6.6775,7.0,7.144,6.258,6.486,993341
2020-03-24,7.0477,7.388,7.688,7.116,7.498,2080813
2020-03-25,7.3453,7.7,7.932,7.206,7.71,1048453
2020-03-26,7.6296,7.998,8.014,7.44,7.454,792807
2020-03-27,7.3586,7.714,7.88,7.604,7.7,459599
2020-03-30,7.5361,7.9,7.9,7.444,7.69,405530
2020-03-31,7.6372,8.006,8.25,7.91,8.052,690087
2020-04-01,7.4788,7.84,7.986,7.556,7.894,643040
2020-04-02,7.393,7.75,7.946,7.504,7.82,541890
2020-04-03,7.5361,7.9,7.902,7.59,7.73,649945
2020-04-06,7.9176,8.3,8.43,8.068,8.368,727414
2020-04-07,8.49,8.9,8.928,8.586,8.66,900327
2020-04-08,8.6846,9.104,9.148,8.8,8.8,768748
2020-04-09,8.7552,9.178,9.352,8.944,9.336,783410
2020-04-14,8.8391,9.266,9.464,9.154,9.334,490293
2020-04-15,8.8716,9.3,9.338,9.09,9.206,639185
2020-04-16,9.1578,9.6,9.638,9.406,9.51,573102
2020-04-17,9.0452,9.482,9.94,9.428,9.888,808142
2020-04-20,8.8182,9.244,9.662,9.032,9.584,1011907
2020-04-21,8.2897,8.69,9.278,8.69,9.098,845111
2020-04-22,8.8601,9.288,9.306,8.83,8.84,597699
2020-04-23,8.8716,9.3,9.416,9.08,9.34,669804
2020-04-24,8.4213,8.828,9.16,8.828,9.04,449103
2020-04-27,8.5472,8.96,9.144,8.926,9.144,650041
2020-04-28,8.4614,8.87,9.11,8.81,8.98,691495
2020-04-29,8.5644,8.978,9.264,8.78,8.918,1213069
2020-04-30,8.1065,8.498,9.162,8.45,9.162,1827919
2020-05-04,8.1981,8.594,8.662,8.252,8.32,1108951
2020-05-05,8.8582,9.286,9.334,8.72,8.784,1224250
2020-05-06,9.1501,9.592,9.69,9.25,9.26,1073460
2020-05-07,9.1368,9.578,9.762,9.486,9.6,434841
2020-05-08,9.0853,9.524,9.71,9.516,9.624,253052
2020-05-11,9.1234,9.564,9.662,9.368,9.564,475679
2020-05-12,9.1215,9.562,9.854,9.454,9.55,679381
2020-05-13,8.7953,9.22,9.552,9.206,9.398,599555
2020-05-14,8.614,9.03,9.156,8.726,9.096,794793
2020-05-15,8.4786,8.888,9.39,8.73,9.24,670930
2020-05-18,9.007,9.442,9.47,8.97,9.152,587828
2020-05-19,9.2074,9.652,9.674,9.218,9.508,579986
2020-05-20,9.4115,9.866,9.866,9.494,9.556,545793
2020-05-21,9.0185,9.454,9.72,9.454,9.716,302756
2020-05-22,9.1539,9.596,9.67,9.292,9.35,310934
2020-05-25,9.2779,9.726,9.748,9.538,9.7,266664
2020-05-26,9.3218,9.772,9.93,9.67,9.832,393147
2020-05-27,9.1692,9.612,9.89,9.43,9.8,780067
2020-05-28,9.0776,9.516,9.828,9.396,9.774,661784
2020-05-29,9.0528,9.49,9.584,9.272,9.328,583006
2020-06-02,9.4058,9.86,10.025,9.624,9.68,744188
2020-06-03,9.7683,10.24,10.245,9.962,9.962,720280
2020-06-04,9.587,10.05,10.25,9.95,10.13,498380
2020-06-05,9.6872,10.155,10.26,9.984,10.105,651840
2020-06-08,9.3199,9.77,10.075,9.77,10.02,507285
2020-06-09,9.1101,9.55,9.942,9.5,9.824,527378
2020-06-10,9.0624,9.5,9.734,9.48,9.586,366921
2020-06-11,8.8849,9.314,9.408,9.122,9.34,815125
2020-06-12,9.0261,9.462,9.65,9.202,9.22,495260
2020-06-15,9.1215,9.562,9.59,9.162,9.2,358231
2020-06-16,9.1444,9.586,9.814,9.482,9.68,309729
2020-06-17,9.2665,9.714,9.762,9.542,9.542,334690
2020-06-18,9.0814,9.52,9.824,9.494,9.688,445533
2020-06-19,9.2016,9.646,9.708,9.464,9.49,562151
2020-06-22,9.4821,9.94,10.045,9.63,9.638,638449
2020-06-23,10.2643,10.76,10.76,10.045,10.045,1156737
2020-06-24,9.7015,10.17,10.835,10.17,10.695,769422
2020-06-25,9.6204,10.085,10.175,9.858,10.16,742657
2020-06-26,9.8112,10.285,10.465,10.15,10.15,683372
2020-06-29,9.6061,10.07,10.395,9.872,10.28,628583
2020-06-30,10.2357,10.73,10.765,10.18,10.25,861486
2020-07-01,10.1403,10.63,10.815,10.595,10.695,403363
2020-07-02,10.3454,10.845,10.905,10.445,10.73,635741
2020-07-03,10.4217,10.925,11.12,10.855,10.925,415090
2020-07-06,10.727,11.245,11.245,10.83,11.15,564963
2020-07-07,10.7127,11.23,11.27,11.05,11.13,383200
2020-07-08,11.0895,11.625,11.76,11.08,11.14,910487
2020-07-09,10.6793,11.195,11.63,11.195,11.56,841601
2020-07-10,10.6745,11.19,11.385,11.085,11.195,553251
2020-07-13,10.9321,11.46,11.585,11.21,11.35,536267
2020-07-14,10.5791,11.09,11.3,10.84,11.25,884831
2020-07-15,10.5696,11.08,11.375,11.08,11.29,418157
2020-07-16,10.3406,10.84,11.08,10.785,11.01,551586
2020-07-17,10.4646,10.97,11.23,10.85,10.85,501682
2020-07-20,11.8049,12.375,12.425,11.005,11.005,1544236
2020-07-21,11.5378,12.095,12.83,12.095,12.6,1037292
2020-07-22,11.6618,12.225,12.435,12.015,12.15,516663
2020-07-23,10.746,11.265,12.86,11.045,12.755,2581465
2020-07-24,10.0783,10.565,10.975,10.3,10.97,1658324
2020-07-27,9.6538,10.12,10.605,10.01,10.605,1248805
2020-07-28,9.6204,10.085,10.515,10.04,10.26,933065
2020-07-29,9.7873,10.26,10.325,9.916,10.07,941753
2020-07-30,9.6633,10.13,10.455,10.0,10.3,783211
2020-07-31,9.8064,10.28,10.445,10.2,10.25,489109
2020-08-03,10.126,10.615,10.695,10.31,10.32,629527
2020-08-04,10.0592,10.545,10.81,10.435,10.7,467053
2020-08-05,10.1785,10.67,10.88,10.545,10.6,511705
2020-08-06,10.0306,10.515,10.8,10.47,10.74,415816
2020-08-07,10.1975,10.69,10.765,10.435,10.5,331025
2020-08-10,10.0688,10.555,10.72,10.495,10.72,418086
2020-08-11,10.2118,10.705,10.795,10.565,10.62,515696
2020-08-12,10.2309,10.725,10.73,10.395,10.68,550017
2020-08-13,10.541,11.05,11.13,10.605,10.65,603177
2020-08-14,10.2166,10.71,11.11,10.69,11.11,391007
2020-08-17,10.5314,11.04,11.055,10.635,10.74,324051
2020-08-18,10.4503,10.955,11.185,10.92,11.05,269592
2020-08-19,10.3692,10.87,11.035,10.81,10.985,416146
2020-08-20,10.2071,10.7,10.815,10.58,10.76,375756
2020-08-21,9.7301,10.2,10.81,10.045,10.7,2576186
2020-08-24,9.8064,10.28,10.58,10.215,10.31,540493
2020-08-25,9.7397,10.21,10.44,10.14,10.4,386203
2020-08-26,9.9686,10.45,10.54,9.94,10.21,1136329
2020-08-27,9.6967,10.165,10.46,10.165,10.35,340924
2020-08-28,9.339,9.79,10.225,9.758,10.205,1267306
2020-08-31,9.2074,9.652,9.876,9.558,9.876,910896
2020-09-01,9.4401,9.896,10.04,9.698,9.748,805434
2020-09-02,9.6109,10.075,10.245,9.958,9.964,674962
2020-09-03,9.3142,9.764,10.26,9.744,10.22,768020
2020-09-04,9.1883,9.632,9.984,9.538,9.6,790366
2020-09-07,9.3352,9.786,9.964,9.674,9.768,657964
2020-09-08,9.0204,9.456,9.912,9.342,9.84,866349
2020-09-09,9.1883,9.632,9.674,9.404,9.44,386130
2020-09-10,9.007,9.442,9.718,9.36,9.65,471069
2020-09-11,8.9956,9.43,9.63,9.362,9.386,398019
2020-09-14,9.091,9.53,9.624,9.448,9.486,406221
2020-09-15,9.257,9.704,9.804,9.49,9.508,787305
2020-09-16,9.5441,10.005,10.115,9.676,9.676,823054
2020-09-17,9.3485,9.8,9.9,9.74,9.84,590396
2020-09-18,9.5336,9.994,10.18,9.876,9.912,1088347
2020-09-21,9.5584,10.02,10.05,9.824,9.95,777440
2020-09-22,9.6729,10.14,10.3,9.978,9.98,778115
2020-09-23,9.8398,10.315,10.485,10.25,10.29,653762
2020-09-24,9.7778,10.25,10.3,10.02,10.13,605594
2020-09-25,9.6586,10.125,10.245,9.814,10.18,478607
2020-09-28,9.8207,10.295,10.35,10.15,10.18,453656
2020-09-29,9.8255,10.3,10.51,10.235,10.295,653023
2020-09-30,9.8255,10.3,10.34,10.175,10.21,282893
2020-10-01,10.3359,10.835,10.865,10.39,10.395,832006
2020-10-02,10.3215,10.82,10.895,10.63,10.695,628661
2020-10-05,10.5314,11.04,11.13,10.77,10.9,757882
2020-10-06,10.2691,10.765,11.1,10.665,11.035,636932
2020-10-07,10.2882,10.785,10.855,10.675,10.75,334154
2020-10-08,10.4789,10.985,11.04,10.745,10.84,674653
2020-10-09,10.8605,11.385,11.385,10.965,10.995,800920
2020-10-12,10.9893,11.52,11.64,11.35,11.38,532568
2020-10-13,11.3279,11.875,12.035,11.46,11.495,1086336
2020-10-14,11.1419,11.68,11.975,11.655,11.875,403910
2020-10-15,10.7079,11.225,11.645,11.2,11.45,823577
2020-10-16,10.7604,11.28,11.525,11.215,11.24,397076
2020-10-19,10.8987,11.425,11.425,11.18,11.35,439434
2020-10-20,10.9559,11.485,11.57,11.365,11.365,394527
2020-10-21,10.9416,11.47,11.6,11.305,11.47,490353
2020-10-22,10.8462,11.37,11.575,11.305,11.375,698934
2020-10-23,10.8319,11.355,11.565,11.145,11.305,505203
2020-10-26,11.0132,11.545,11.76,11.0,11.06,661031
2020-10-27,10.727,11.245,11.85,11.245,11.68,854085
2020-10-28,10.3979,10.9,11.285,10.89,11.06,967729
2020-10-29,9.1024,9.542,10.645,8.844,10.55,4541855
2020-10-30,9.2283,9.674,9.738,9.228,9.438,2651983
2020-11-02,9.1043,9.544,9.984,9.494,9.74,1549349
2020-11-03,9.2589,9.706,9.778,9.494,9.65,901311
2020-11-04,9.1997,9.644,9.696,9.496,9.686,1359875
2020-11-05,9.6252,10.09,10.22,9.798,9.798,990483
2020-11-06,9.6633,10.13,10.16,9.822,10.115,617786
2020-11-09,9.9018,10.38,10.51,10.125,10.47,1123249
2020-11-10,9.421,9.876,10.555,9.732,10.355,1296681
2020-11-11,9.6824,10.15,10.25,9.58,9.872,1327599
2020-11-12,9.692,10.16,10.29,10.055,10.185,702982
2020-11-13,9.878,10.355,10.465,10.115,10.115,650338
2020-11-16,10.064,10.55,10.61,10.265,10.425,889778
2020-11-17,10.0163,10.5,10.665,10.41,10.42,386551
2020-11-18,10.2452,10.74,10.77,10.435,10.5,390649
2020-11-19,10.3025,10.8,10.84,10.635,10.795,347087
2020-11-20,10.5505,11.06,11.06,10.7,10.77,760951
2020-11-23,10.5982,11.11,11.355,11.065,11.065,660115
2020-11-24,10.4933,11.0,11.36,10.875,11.225,649676
2020-11-25,10.5934,11.105,11.31,10.965,11.05,736433
2020-11-26,11.0513,11.585,11.73,11.2,11.26,1638377
2020-11-27,11.7238,12.29,12.29,11.63,11.63,1126657
2020-11-30,11.6046,12.165,12.5,12.12,12.17,1080083
2020-12-01,11.7572,12.325,12.35,11.86,12.215,1045248
2020-12-02,11.7429,12.31,12.565,12.19,12.24,807809
2020-12-03,11.6237,12.185,12.36,12.14,12.28,481365
2020-12-04,12.3916,12.99,12.99,12.105,12.145,1271266
2020-12-07,12.6158,13.225,13.225,12.785,12.995,838027
2020-12-08,12.5013,13.105,13.46,13.07,13.255,985256
2020-12-09,12.3487,12.945,13.18,12.75,13.155,988746
2020-12-10,12.3391,12.935,12.96,12.65,12.74,742085
2020-12-11,12.1531,12.74,13.07,12.725,12.945,619044
2020-12-14,12.0195,12.6,12.75,12.375,12.615,727227
2020-12-15,12.3582,12.955,13.02,12.705,12.715,936770
2020-12-16,12.3582,12.955,13.265,12.865,12.975,872845
2020-12-17,13.0212,13.65,13.82,12.99,13.1,1746754
2020-12-18,13.3884,14.035,14.125,13.485,13.505,1624515
2020-12-21,13.0498,13.68,13.92,13.48,13.645,863083
2020-12-22,13.4791,14.13,14.34,13.77,13.77,800241
2020-12-23,13.6889,14.35,14.57,14.225,14.28,740297
2020-12-28,13.8559,14.525,14.86,14.44,14.625,564325
2020-12-29,13.4743,14.125,14.625,14.03,14.505,499991
2020-12-30,13.6078,14.265,14.365,14.055,14.13,343506
2021-01-04,13.6651,14.325,14.635,14.14,14.46,898785
2021-01-05,14.1754,14.86,14.935,13.77,13.86,1676898
2021-01-06,13.7509,14.415,14.805,14.27,14.805,1054080
2021-01-07,13.6126,14.27,14.45,14.115,14.44,555070
2021-01-08,13.6985,14.36,14.7,14.225,14.325,955505
2021-01-11,13.9179,14.59,14.85,14.15,14.33,1041341
2021-01-12,13.7319,14.395,14.85,14.24,14.655,629904
2021-01-13,13.9751,14.65,14.815,14.28,14.4,767540
2021-01-14,14.08,14.76,14.95,14.535,14.605,640903
2021-01-15,13.8559,14.525,14.72,14.35,14.68,756502
2021-01-18,14.0896,14.77,14.91,14.425,14.435,780007
2021-01-19,14.5475,15.25,15.455,14.89,14.93,1103036
2021-01-20,14.8098,15.525,15.82,15.37,15.45,1047877
2021-01-21,15.2582,15.995,16.04,15.54,15.705,884287
2021-01-22,15.5396,16.29,16.405,15.665,16.0,770447
2021-01-25,15.2868,16.025,16.92,15.905,16.635,1080519
2021-01-26,15.282,16.02,16.195,15.74,16.01,544106
2021-01-27,14.7049,15.415,16.395,14.905,16.31,1483497
2021-01-28,14.9577,15.68,15.955,14.83,15.435,984896
2021-01-29,14.7096,15.42,15.825,15.26,15.495,876524
2021-02-01,15.1198,15.85,15.895,15.56,15.625,536568
2021-02-02,15.6445,16.4,16.48,15.805,15.87,1063323
2021-02-03,15.5396,16.29,16.79,16.25,16.56,939190
2021-02-04,15.4632,16.21,16.55,16.075,16.355,767540
2021-02-05,15.8067,16.57,16.715,16.18,16.37,1029426
2021-02-08,15.8114,16.575,16.9,16.36,16.75,769813
2021-02-09,15.6063,16.36,16.73,16.245,16.67,722607
2021-02-10,15.6254,16.38,16.66,16.17,16.39,640049
2021-02-11,16.503,17.3,17.315,16.4,16.495,906411
2021-02-12,16.6938,17.5,18.245,17.34,17.385,1209041
2021-02-15,16.2645,17.05,17.77,16.865,17.695,1017150
2021-02-16,16.4601,17.255,17.36,16.985,17.11,547835
2021-02-17,15.716,16.475,17.335,16.47,17.335,809628
2021-02-18,15.8973,16.665,17.56,16.505,16.51,932834
2021-02-19,17.1326,17.96,18.295,17.275,17.275,2077313
2021-02-22,16.7558,17.565,18.17,17.355,18.08,1049135
2021-02-23,16.3027,17.09,17.78,16.475,17.65,1544372
2021-02-24,16.379,17.17,17.23,16.71,17.005,1146311
2021-02-25,18.6017,19.5,20.35,17.735,18.53,4485428
2021-02-26,17.9816,18.85,19.45,18.22,18.9,1894935
2021-03-01,17.4713,18.315,19.535,17.82,19.37,1559191
2021-03-02,17.2519,18.085,18.545,17.74,18.29,1139729
2021-03-03,17.042,17.865,18.215,17.54,18.13,931153
2021-03-04,15.821,16.585,17.58,16.405,17.58,1191173
2021-03-05,15.8639,16.63,17.24,15.62,16.36,1328915
2021-03-08,16.2407,17.025,17.225,16.71,16.835,1038242
2021-03-09,16.7129,17.52,17.65,16.63,16.9,1065745
2021-03-10,16.2932,17.08,17.62,16.955,17.62,772811
2021-03-11,17.3091,18.145,18.145,17.1,17.135,1064368
2021-03-12,17.1851,18.015,18.3,17.765,18.05,735952
2021-03-15,18.0055,18.875,18.995,17.92,18.0,886490
2021-03-16,18.3489,19.235,19.54,18.715,19.005,819478
2021-03-17,18.0961,18.97,19.53,18.915,19.125,712957
2021-03-18,17.9244,18.79,19.31,18.79,19.21,635891
2021-03-19,17.4283,18.27,18.82,18.27,18.655,1071375
2021-03-22,17.829,18.69,18.73,18.11,18.2,636699
2021-03-23,17.4188,18.26,18.71,18.18,18.54,709166
2021-03-24,17.4045,18.245,19.025,18.185,18.42,650049
2021-03-25,17.2853,18.12,18.33,17.78,18.255,746224
2021-03-26,17.8576,18.72,18.825,18.085,18.15,394843
2021-03-29,17.5905,18.44,18.95,18.425,18.885,452963
2021-03-30,18.0007,18.87,18.97,18.41,18.42,380885
2021-03-31,18.4824,19.375,19.465,18.81,18.87,574127
2021-04-01,18.8068,19.715,19.99,19.51,19.51,499653
2021-04-06,18.7209,19.625,20.22,19.48,20.11,771298
2021-04-07,18.182,19.06,19.75,18.84,19.66,710966
2021-04-08,18.2917,19.175,19.435,18.99,19.2,368695
2021-04-09,18.2392,19.12,19.385,19.005,19.255,252753
2021-04-12,18.1295,19.005,19.3,18.745,19.18,598157
2021-04-13,18.1533,19.03,19.295,18.82,18.98,260672
2021-04-14,18.6398,19.54,19.855,18.945,19.215,679208
2021-04-15,18.3918,19.28,19.625,19.12,19.54,555739
2021-04-16,18.3918,19.28,19.34,19.01,19.21,385230
2021-04-19,17.9482,18.815,19.4,18.75,19.35,442972
2021-04-20,17.0992,17.925,19.07,17.76,18.815,742661
2021-04-21,17.1374,17.965,18.285,17.63,18.105,424761
2021-04-22,17.891,18.755,18.89,18.035,18.205,859299
2021-04-23,17.7431,18.6,18.79,18.415,18.64,408238
2021-04-26,18.1295,19.005,19.05,18.59,18.81,498710
2021-04-27,17.9721,18.84,19.09,18.665,19.06,421043
2021-04-28,17.9625,18.83,18.995,18.495,18.955,404025
2021-04-29,16.2264,17.01,19.0,16.65,18.8,4328745
2021-04-30,16.9466,17.765,18.195,17.27,17.58,2180092
2021-05-03,16.8083,17.62,17.99,17.44,17.89,854198
2021-05-04,15.7065,16.465,17.635,16.35,17.6,1502710
2021-05-05,16.0738,16.85,17.07,16.6,16.83,732648
2021-05-06,15.2105,15.945,16.92,15.62,16.9,1683186
2021-05-07,15.9021,16.67,16.67,15.845,16.26,989706
