Date,Close,Unadjusted_close,High,Low,Open,Volume
2020-01-02,43.73,43.73,43.85,43.47,43.51,26287
2020-01-03,43.22,43.22,43.4,42.75,43.4,49036
2020-01-06,41.96,41.96,42.68,41.9,42.68,20637
2020-01-07,43.36,43.36,43.41,42.69,42.69,21812
2020-01-08,43.69,43.69,43.89,42.98,42.98,51724
2020-01-09,44.44,44.44,44.44,43.83,43.98,19853
2020-01-10,43.78,43.78,44.12,43.78,44.12,90187
2020-01-13,43.03,43.03,43.74,42.72,43.74,66451
2020-01-14,43.33,43.33,43.33,42.8,42.94,56550
2020-01-15,43.56,43.56,43.56,43.02,43.02,11539
2020-01-16,44.0,44.0,44.22,43.24,43.24,32804
2020-01-17,43.5,43.5,44.12,43.5,44.12,13603
2020-01-20,43.5,43.5,43.87,43.33,43.87,23399
2020-01-21,46.35,46.35,46.8,43.5,43.5,246559
2020-01-22,45.82,45.82,47.2,45.65,47.2,61812
2020-01-23,44.82,44.82,45.3,44.8,45.3,29225
2020-01-24,45.28,45.28,45.6,45.28,45.48,45289
2020-01-27,43.82,43.82,45.24,43.24,45.24,141004
2020-01-28,44.12,44.12,44.12,43.0,43.48,29832
2020-01-29,44.09,44.09,44.24,43.8,44.24,14266
2020-01-30,43.0,43.0,43.59,43.0,43.59,28792
2020-01-31,43.0,43.0,43.38,42.97,42.97,2972
2020-02-03,42.07,42.07,42.56,42.0,42.56,32887
2020-02-04,43.21,43.21,43.49,42.78,42.78,26380
2020-02-05,43.25,43.25,43.45,42.77,43.0,17310
2020-02-06,43.1,43.1,43.53,42.98,42.98,15494
2020-02-07,41.62,41.62,43.22,41.41,43.22,46249
2020-02-10,42.42,42.42,42.42,41.62,42.1,48174
2020-02-11,42.5,42.5,42.53,42.21,42.21,46329
2020-02-12,43.19,43.19,43.51,42.5,42.98,92974
2020-02-13,43.03,43.03,43.19,43.03,43.19,430
2020-02-14,44.21,44.21,45.0,43.03,43.03,29517
2020-02-17,44.24,44.24,44.51,44.23,44.48,33486
2020-02-18,43.32,43.32,44.16,43.32,44.16,17970
2020-02-19,43.72,43.72,43.72,43.19,43.19,18291
2020-02-20,43.69,43.69,43.97,43.51,43.51,15555
2020-02-21,43.19,43.19,43.54,42.63,43.54,48542
2020-02-24,41.99,41.99,42.32,41.19,42.04,47323
2020-02-25,40.8,40.8,42.19,40.8,41.96,21109
2020-02-26,40.8,40.8,41.55,39.88,40.0,60304
2020-02-27,39.6,39.6,40.8,39.59,40.22,110493
2020-02-28,39.48,39.48,39.69,37.82,38.18,37476
2020-03-02,39.23,39.23,39.95,38.4,39.6,49062
2020-03-03,38.6,38.6,39.3,38.6,39.3,20338
2020-03-04,38.08,38.08,38.8,37.99,38.04,28241
2020-03-05,39.54,39.54,39.59,38.35,38.7,58371
2020-03-06,38.18,38.18,39.0,37.8,38.69,21494
2020-03-09,35.99,35.99,36.04,35.43,35.9,67340
2020-03-10,35.3,35.3,37.18,34.67,36.82,36448
2020-03-11,32.81,32.81,34.83,32.7,34.83,73818
2020-03-12,28.36,28.36,31.5,28.0,31.5,120277
2020-03-13,27.46,27.46,29.55,26.8,27.4,148780
2020-03-16,25.96,25.96,26.83,24.41,26.83,77320
2020-03-17,24.22,24.22,26.0,23.07,25.4,27561
2020-03-18,21.1,21.1,23.5,21.1,22.9,38742
2020-03-19,20.85,20.85,21.1,19.2,21.1,245095
2020-03-20,21.64,21.64,21.93,20.5,20.5,38441
2020-03-23,21.28,21.28,21.28,20.5,20.76,44820
2020-03-24,22.96,22.96,23.1,20.75,21.57,63962
2020-03-25,24.67,24.67,25.6,23.5,23.9,71699
2020-03-26,25.17,25.17,25.17,23.66,24.53,47620
2020-03-27,22.95,22.95,25.49,22.5,25.49,250413
2020-03-30,21.61,21.61,22.69,20.8,22.69,102593
2020-03-31,22.94,22.94,23.35,21.81,21.81,85661
2020-04-01,22.2,22.2,23.0,21.9,23.0,59818
2020-04-02,22.9,22.9,23.0,22.02,22.24,60524
2020-04-03,22.09,22.09,22.71,21.79,22.71,40715
2020-04-06,23.75,23.75,24.0,23.1,23.3,73350
2020-04-07,25.68,25.68,25.91,23.9,23.9,83903
2020-04-08,24.9,24.9,25.14,24.5,25.1,56528
2020-04-09,25.9,25.9,26.0,25.13,25.13,93108
2020-04-14,25.74,25.74,27.28,25.38,27.28,133449
2020-04-15,23.98,23.98,25.83,23.81,25.83,63208
2020-04-16,23.76,23.76,24.2,23.46,24.11,52713
2020-04-17,25.71,25.71,26.17,24.13,24.13,39383
2020-04-20,24.83,24.83,26.02,24.4,25.93,46921
2020-04-21,23.62,23.62,24.4,23.49,24.4,31756
2020-04-22,23.42,23.42,23.69,22.99,23.69,19458
2020-04-23,24.34,24.34,24.44,23.43,23.43,30161
2020-04-24,23.52,23.52,24.01,23.05,23.9,11159
2020-04-27,24.07,24.07,24.17,23.68,24.06,24362
2020-04-28,24.77,24.77,25.06,24.28,24.28,40224
2020-04-29,25.94,25.94,25.94,24.62,24.89,40977
2020-04-30,25.36,25.36,26.53,25.36,26.43,52174
2020-05-04,24.05,24.05,24.88,23.8,24.88,46839
2020-05-05,23.24,23.24,24.57,22.59,24.57,198632
2020-05-06,22.98,22.98,23.55,22.28,22.96,179081
2020-05-07,23.25,23.25,23.25,22.39,22.97,80289
2020-05-08,23.47,23.47,23.64,23.37,23.37,9653
2020-05-11,24.69,24.69,25.0,23.85,23.85,137107
2020-05-12,24.8,24.8,25.1,24.47,24.56,169098
2020-05-13,23.0,23.0,24.67,22.75,24.5,94468
2020-05-14,23.02,23.02,23.02,22.61,22.76,101598
2020-05-15,22.74,22.74,23.52,22.74,23.5,22929
2020-05-18,24.14,24.14,24.14,23.29,23.36,9653
2020-05-19,23.5,23.5,24.82,23.5,24.23,74562
2020-05-20,23.68,23.68,24.12,23.0,24.01,36097
2020-05-21,23.29,23.29,23.71,23.05,23.71,24808
2020-05-22,23.21,23.21,23.69,22.84,23.28,28519
2020-05-25,23.85,23.85,23.85,23.6,23.77,18143
2020-05-26,25.23,25.23,25.5,24.0,24.0,47168
2020-05-27,26.6,26.6,27.0,25.42,25.42,449566
2020-05-28,27.23,27.23,27.4,26.75,27.1,62909
