Date,Close,Unadjusted_close,High,Low,Open,Volume
2020-01-02,19.5973,20.8,21.3,20.7,21.3,2063
2020-01-03,19.5031,20.7,20.8,20.5,20.8,1832
2020-01-06,20.8222,22.1,22.3,20.6,20.6,26640
2020-01-07,20.6337,21.9,22.0,21.6,21.6,13284
2020-01-08,20.8222,22.1,22.1,21.7,22.1,4005
2020-01-09,20.2569,21.5,22.2,21.4,22.2,4118
2020-01-10,20.0684,21.3,21.5,21.3,21.5,12495
2020-01-13,20.2569,21.5,21.5,21.4,21.5,4487
2020-01-14,20.5395,21.8,21.8,21.4,21.5,3217
2020-01-15,20.6337,21.9,21.9,21.6,21.8,1554
2020-01-16,20.4453,21.7,21.9,21.7,21.8,3310
2020-01-17,20.6337,21.9,22.0,21.7,21.9,1848
2020-01-20,20.728,22.0,22.0,21.7,21.9,7259
2020-01-21,20.6337,21.9,21.9,21.7,21.7,2105
2020-01-22,20.6337,21.9,21.9,21.7,21.9,1655
2020-01-23,20.3511,21.6,21.8,21.4,21.8,3728
2020-01-24,20.6337,21.9,21.9,21.5,21.8,1756
2020-01-27,20.5395,21.8,21.9,21.6,21.9,4360
2020-01-28,20.8222,22.1,22.1,21.5,21.8,13295
2020-01-29,20.6337,21.9,22.1,21.5,22.1,3319
2020-01-30,20.4453,21.7,22.2,21.7,21.7,5838
2020-01-31,20.1626,21.4,21.8,21.4,21.8,4319
2020-02-03,20.8222,22.1,22.2,21.3,21.5,32508
2020-02-04,20.8222,22.1,22.1,21.9,22.1,3584
2020-02-05,20.6337,21.9,22.1,21.9,21.9,3502
2020-02-06,20.728,22.0,22.1,21.6,22.0,8674
2020-02-07,20.8222,22.1,22.2,21.9,22.0,7343
2020-02-10,20.728,22.0,22.0,21.9,21.9,368
2020-02-11,20.6337,21.9,22.0,21.8,21.8,148
2020-02-12,21.1048,22.4,22.5,22.1,22.1,11491
2020-02-13,21.199,22.5,22.5,22.1,22.5,2272
2020-02-14,21.3875,22.7,22.8,22.2,22.3,66010
2020-02-17,21.3875,22.7,23.0,22.6,22.6,20212
2020-02-18,21.5759,22.9,22.9,22.5,22.8,13449
