Date,Close,Unadjusted_close,High,Low,Open,Volume
2020-01-02,43.45,43.45,43.85,43.35,43.85,9671
2020-01-03,42.5,42.5,43.75,42.05,43.75,8229
2020-01-06,41.85,41.85,42.1,41.45,42.0,12508
2020-01-07,41.9,41.9,42.3,41.75,42.1,9605
2020-01-08,42.75,42.75,43.35,41.8,41.95,13832
2020-01-09,42.55,42.55,43.2,42.0,43.2,26448
2020-01-10,42.1,42.1,42.7,42.0,42.55,17511
2020-01-13,43.4,43.4,43.5,42.15,42.6,18262
2020-01-14,43.9,43.9,44.55,43.05,43.05,17139
2020-01-15,45.8,45.8,46.15,43.7,43.7,26986
2020-01-16,45.55,45.55,46.5,45.55,45.65,9235
2020-01-17,45.0,45.0,46.0,45.0,45.85,15731
2020-01-20,43.7,43.7,45.2,42.85,44.9,30929
2020-01-21,43.8,43.8,44.3,43.75,44.25,14413
2020-01-22,43.8,43.8,44.25,43.2,44.05,27864
2020-01-23,45.95,45.95,46.85,44.0,44.0,23390
2020-01-24,45.85,45.85,47.2,45.7,46.55,31023
2020-01-27,45.5,45.5,46.25,45.3,46.25,17746
2020-01-28,46.1,46.1,46.35,45.35,45.55,45649
2020-01-29,46.9,46.9,47.05,46.2,46.4,29495
2020-01-30,45.6,45.6,47.1,45.55,47.1,21718
2020-01-31,45.65,45.65,47.05,45.55,45.55,30702
2020-02-03,46.5,46.5,46.55,45.65,46.45,42248
2020-02-04,47.8,47.8,48.25,47.4,47.5,42311
2020-02-05,47.5,47.5,48.15,47.15,48.1,28812
2020-02-06,47.2,47.2,48.05,46.85,47.9,19512
2020-02-07,46.7,46.7,47.35,46.5,47.2,22731
2020-02-10,46.7,46.7,47.0,46.4,46.95,21044
2020-02-11,47.0,47.0,47.35,46.75,47.0,23966
2020-02-12,47.35,47.35,47.4,46.5,47.4,30991
2020-02-13,46.8,46.8,47.4,46.2,47.0,24281
2020-02-14,46.85,46.85,47.55,46.35,46.6,32151
2020-02-17,46.5,46.5,47.2,46.5,47.15,11637
2020-02-18,46.35,46.35,46.75,46.2,46.75,9398
2020-02-19,46.5,46.5,47.4,46.2,46.5,13847
2020-02-20,45.8,45.8,46.6,45.55,46.6,12510
2020-02-21,46.0,46.0,46.1,44.6,45.6,20479
2020-02-24,44.95,44.95,45.6,44.05,44.4,27887
2020-02-25,44.95,44.95,45.45,44.35,44.9,29778
2020-02-26,44.6,44.6,44.6,42.7,44.0,60126
2020-02-27,44.55,44.55,45.0,43.7,43.95,40123
2020-02-28,44.0,44.0,44.4,42.95,43.5,79726
2020-03-02,47.0,47.0,47.45,43.05,43.05,66597
2020-03-03,50.0,50.0,52.5,47.0,47.0,153428
2020-03-04,50.3,50.3,53.6,50.0,50.0,85017
2020-03-05,53.0,53.0,53.1,50.3,50.3,109540
2020-03-06,51.6,51.6,53.7,51.0,53.0,102446
2020-03-09,47.45,47.45,49.8,45.0,48.0,84371
2020-03-10,46.65,46.65,47.6,46.15,47.2,65664
2020-03-11,44.35,44.35,46.95,44.05,46.4,76717
2020-03-12,44.0,44.0,44.4,41.3,44.0,103791
2020-03-13,42.0,42.0,44.5,41.55,43.05,96268
2020-03-16,40.55,40.55,40.6,36.9,40.0,66246
2020-03-17,46.7,46.7,50.0,40.45,41.6,107204
2020-03-18,48.3,48.3,58.0,46.75,46.75,114442
2020-03-19,48.6,48.6,52.5,47.65,52.5,104064
2020-03-20,51.8,51.8,52.5,50.0,52.5,131793
2020-03-23,53.5,53.5,58.0,52.1,52.5,205312
2020-03-24,54.8,54.8,56.7,53.9,55.0,81558
2020-03-25,50.1,50.1,56.2,49.3,55.7,76226
2020-03-26,51.9,51.9,52.5,48.6,49.7,65994
2020-03-27,50.0,50.0,51.9,49.0,51.8,76232
2020-03-30,50.0,50.0,51.9,49.2,51.9,74090
2020-03-31,50.8,50.8,51.4,48.8,50.4,86952
2020-04-01,59.5,59.5,61.2,50.7,53.7,286217
2020-04-02,57.6,57.6,61.7,55.2,59.7,214796
2020-04-03,62.3,62.3,63.0,60.5,61.6,186105
2020-04-06,68.0,68.0,69.3,62.6,62.6,221355
2020-04-07,63.3,63.3,75.0,62.0,70.0,201559
2020-04-08,61.2,61.2,66.0,60.4,62.1,441476
2020-04-09,62.8,62.8,65.2,62.1,62.9,118538
2020-04-14,63.6,63.6,65.5,63.1,64.7,65596
2020-04-15,64.3,64.3,65.1,63.5,64.3,75692
2020-04-16,67.0,67.0,67.6,64.3,64.8,139258
2020-04-17,69.1,69.1,69.1,66.2,67.1,89149
2020-04-20,66.8,66.8,70.6,64.1,69.4,144985
2020-04-21,67.1,67.1,67.7,64.8,67.0,103738
2020-04-22,67.0,67.0,68.4,66.0,66.6,91109
2020-04-23,68.0,68.0,69.4,66.8,67.6,117979
2020-04-24,66.9,66.9,68.1,64.7,67.2,123216
2020-04-27,73.0,73.0,73.7,67.8,68.5,238023
2020-04-28,70.3,70.3,75.6,70.3,73.5,155414
2020-04-29,68.8,68.8,71.7,67.5,70.5,128153
2020-04-30,67.4,67.4,70.2,67.1,69.0,70430
2020-05-04,68.5,68.5,69.5,65.4,69.3,132342
2020-05-05,70.8,70.8,71.8,69.0,69.5,100541
2020-05-06,72.5,72.5,74.2,70.6,70.8,109026
2020-05-07,75.0,75.0,77.1,72.3,73.1,129372
2020-05-08,77.2,77.2,78.7,74.7,75.9,82196
2020-05-11,80.0,80.0,81.0,77.9,78.2,168669
2020-05-12,81.4,81.4,82.4,79.5,80.0,94084
2020-05-13,79.5,79.5,81.3,78.7,80.5,105313
2020-05-14,84.6,84.6,92.7,81.2,81.5,428612
2020-05-15,87.7,87.7,88.7,84.8,88.0,140719
2020-05-18,93.0,93.0,95.4,88.4,89.9,220790
2020-05-19,90.4,90.4,95.1,88.7,95.0,165818
2020-05-20,95.5,95.5,99.5,91.7,92.6,289075
2020-05-21,97.7,97.7,98.9,95.1,96.3,82724
2020-05-22,98.6,98.6,99.8,96.5,97.6,111520
2020-05-25,102.4,102.4,105.0,99.7,100.2,126426
2020-05-26,96.0,96.0,106.0,95.6,105.8,236443
2020-05-27,89.5,89.5,98.5,89.1,98.0,220555
2020-05-28,95.1,95.1,96.1,88.7,91.0,170174
2020-05-29,92.7,92.7,94.8,91.8,94.8,116238
2020-06-02,94.8,94.8,96.1,92.7,95.9,61057
