Date,Close,Unadjusted_close,High,Low,Open,Volume
2020-01-02,190.712,193.6,195.1,189.8,190.0,45183
2020-01-03,189.1358,192.0,192.4,188.9,190.6,40532
2020-01-06,186.5746,189.4,190.7,186.2,190.5,54210
2020-01-07,188.6433,191.5,193.7,188.8,188.9,34836
2020-01-08,190.909,193.8,193.8,189.7,191.0,58774
2020-01-09,195.0463,198.0,198.6,194.4,194.5,47553
2020-01-10,198.0016,201.0,201.2,197.7,198.7,43797
2020-01-13,200.5628,203.6,210.4,202.2,206.0,79096
2020-01-14,204.5031,207.6,207.8,203.0,205.6,41139
2020-01-15,210.0196,213.2,213.8,209.2,209.2,73746
2020-01-16,210.0196,213.2,216.4,211.4,213.8,47115
2020-01-17,212.9748,216.2,217.0,213.6,217.0,45404
2020-01-20,212.5808,215.8,219.6,215.4,218.6,38863
2020-01-21,213.3689,216.6,216.8,211.6,214.4,39460
2020-01-22,214.1569,217.4,221.0,215.6,217.2,40271
2020-01-23,213.5659,216.8,219.2,213.8,217.8,44473
2020-01-24,215.5361,218.8,220.4,217.4,219.8,40961
2020-01-27,212.5808,215.8,217.4,213.8,215.8,55420
2020-01-28,211.9898,215.2,216.8,207.8,214.8,60313
2020-01-29,210.2166,213.4,217.0,211.8,214.0,51598
2020-01-30,205.6852,208.8,213.2,208.0,209.0,55264
2020-01-31,207.4584,210.6,213.0,208.8,211.0,73873
2020-02-03,214.748,218.0,220.0,209.2,209.2,102880
2020-02-04,217.1122,220.4,220.6,217.4,218.8,62925
2020-02-05,221.2495,224.6,225.6,220.2,221.0,62462
2020-02-06,223.0227,226.4,230.6,222.2,229.8,71245
2020-02-07,220.8555,224.2,226.0,222.6,225.0,60082
2020-02-10,225.1899,228.6,228.6,222.4,223.0,36892
2020-02-11,233.6616,237.2,237.2,229.6,230.0,75465
2020-02-12,226.569,230.0,239.0,228.8,239.0,71179
2020-02-13,227.5541,231.0,231.0,224.8,229.8,101955
2020-02-14,227.7511,231.2,232.8,229.0,232.2,30522
2020-02-17,230.3123,233.8,233.8,229.4,232.4,31914
2020-02-18,232.0854,235.6,236.0,231.0,233.0,44158
2020-02-19,236.4198,240.0,242.2,235.2,238.8,55120
2020-02-20,235.8288,239.4,243.2,238.0,239.6,48735
2020-02-21,234.0556,237.6,240.2,235.8,236.6,42464
2020-02-24,227.7511,231.2,231.8,224.4,229.8,86269
2020-02-25,219.4764,222.8,233.4,221.4,229.0,96227
2020-02-26,219.8704,223.2,226.8,208.6,217.6,216622
2020-02-27,210.6106,213.8,220.2,211.2,219.6,75749
2020-02-28,203.9121,207.0,211.2,200.0,201.4,178902
2020-03-02,204.5031,207.6,216.6,204.8,209.8,95387
2020-03-03,212.3838,215.6,222.8,211.4,214.2,123740
2020-03-04,216.5211,219.8,221.0,213.8,217.0,79084
2020-03-05,215.142,218.4,224.8,216.4,224.2,88941
2020-03-06,209.6256,212.8,215.0,207.0,214.8,56213
2020-03-09,199.9717,203.0,209.2,199.0,199.0,109004
2020-03-10,197.4105,200.4,208.8,198.7,206.0,106288
2020-03-11,196.0314,199.0,205.2,196.6,202.8,87168
2020-03-12,175.2462,177.9,189.9,177.0,187.0,163909
2020-03-13,179.1865,181.9,197.8,177.8,179.8,171067
2020-03-16,171.6014,174.2,175.3,164.2,171.0,182722
2020-03-17,180.1716,182.9,184.6,169.0,176.0,135077
2020-03-18,181.8462,184.6,184.6,175.8,179.4,142235
2020-03-19,194.5538,197.5,198.1,174.0,183.0,209010
2020-03-20,199.9717,203.0,208.4,196.0,205.0,231325
2020-03-23,198.9867,202.0,204.8,184.1,197.2,139546
2020-03-24,205.4882,208.6,212.8,201.2,212.6,120655
2020-03-25,205.4882,208.6,226.0,204.0,216.0,113064
2020-03-26,212.5808,215.8,215.8,202.0,205.2,97459
2020-03-27,209.5269,212.0,214.4,203.2,214.0,79886
2020-03-30,217.4335,220.0,223.8,207.2,213.2,114224
2020-03-31,219.6079,222.2,224.4,217.8,222.4,114629
